# x[m]       y[m]
-1.7403555 -1.8602635
-1.7508955 -1.8708345
-1.7614355 -1.8602635
-1.771557 -1.870385
-1.807145 -1.835231
-1.7820815 -1.810617
-1.803177 -1.7890875
-1.7961555 -1.782066
-1.7610015 -1.8176695
-1.7258475 -1.782066
-1.7047675 -1.8035955
-1.7508955 -1.8497235
-1.7403555 -1.8602635

-1.8497545 -1.7508955
-1.8602945 -1.7403245
-1.87085 -1.7508955
-1.8602945 -1.76142
-1.870416 -1.7715415
-1.8352465 -1.8070985
-1.810648 -1.782066
-1.803177 -1.7895525
-1.7961555 -1.782066
-1.8172355 -1.7609705
-1.7820815 -1.7258165
-1.803177 -1.704752
-1.8497545 -1.7508955

-2.3273095 -1.1098155
-2.3026955 -1.0997405
-2.2969915 -1.113365
-2.2831965 -1.1076455
-2.288916 -1.094021
-2.239998 -1.0737935
-2.2835065 -0.968796500000001
-2.3708025 -1.004834
-2.3273095 -1.1098155

-2.3973385 -0.831265000000001
-2.4114435 -0.837
-2.445714 -0.664314500000001
-2.5631575 -0.688045000000001
-2.6011635 -0.4964805
-2.631218 -0.345774000000001
-2.5138675 -0.322462
-2.5610495 -0.0847850000000004
-2.545813 -0.0847850000000004
-2.499096 -0.3194085
-2.4155665 -0.302699500000001
-2.412668 -0.317192000000001
-2.6087275 -0.356314
-2.581618 -0.492512500000001
-2.546464 -0.669150500000001
-2.3504665 -0.6304625
-2.3475215 -0.644970500000001
-2.4310355 -0.6616795
-2.3973385 -0.831265000000001

-2.333463 -0.939796
-2.3162735 -0.981088000000001
-2.371376 -1.0039505
-2.3885035 -0.9626585
-2.3793275 -0.958690500000001
-2.4098625 -0.884879500000001
-2.419054 -0.8888165
-2.4305085 -0.861149000000001
-2.4057395 -0.851043
-2.4114435 -0.837
-2.3976485 -0.831265000000001
-2.391898 -0.845323500000001
-2.3523885 -0.8286455
-2.3493195 -0.836116500000001
-2.3723835 -0.845773
-2.363998 -0.866000500000001
-2.391619 -0.8774085
-2.3610995 -0.9512195
-2.333463 -0.939796

1.5461405 -3.0316295
1.597554 -2.997359
1.324692 -2.3783045
1.181038 -2.2517625
1.1129155 -2.2970225
1.1072115 -2.2829485
1.181906 -2.232868
1.336565 -2.3690665
1.626105 -3.025941
1.568104 -3.065032
1.5461405 -3.0316295

-0.26846 -3.392795
-0.329096 -3.3805035
-0.314154 -2.704316
-0.229802999999999 -2.5320645
-0.0847849999999995 -2.561065
-0.0847849999999995 -2.545689
-0.237708 -2.5153865
-0.3286465 -2.700348
-0.344472 -3.4182925
-0.275930999999999 -3.431917
-0.26846 -3.392795

-1.0505435 -3.2372525
-0.9899075 -3.2491255
-0.744744 -2.6186475
-0.7570355 -2.4275015
-0.837 -2.411242
-0.8312805 -2.397199
-0.742977 -2.4147605
-0.729802 -2.620399
-0.9899075 -3.2899835
